# O'zbek tili G2P leksikoni (qoida asosida yaratilgan)
# ustunlar: so'z / fonemalar / holat (aniq | noaniq) / variantlar soni
muhokama	m u h o k a m a	aniq	1
mujassamlashtiradi	m u dʒ a s s a m l a ʃ t i r a d i	noaniq	2
mumkin	m u m k i n	aniq	1
muovini	m u o v i n i	aniq	1
mustaqillik	m u s t a q i l l i k	aniq	1
muz	m u z	aniq	1
muzli	m u z l i	aniq	1
namoyish	n a m o j i ʃ	aniq	1
narsa	n a r s a	aniq	1
nazariyani	n a z a r i j a n i	aniq	1
na‘rasi	n a ʔ r a s i	noaniq	2
na‘rasiga	n a ʔ r a s i g a	noaniq	2
nechtasi	n e tʃ t a s i	aniq	1
nimadir	n i m a d i r	aniq	1
ning	n i ŋ	aniq	1
nishonlashni	n i ʃ o n l a ʃ n i	aniq	1
ob	o b	aniq	1
oddiy	o d d i j	aniq	1
og‘zining	o ʁ z i n i ŋ	aniq	1
oladi	o l a d i	aniq	1
olib	o l i b	aniq	1
olimlar	o l i m l a r	aniq	1
olindi	o l i n d i	aniq	1
olish	o l i ʃ	aniq	1
olishni	o l i ʃ n i	aniq	1
oliy	o l i j	aniq	1
olov	o l o v	aniq	1
ommaviy	o m m a v i j	aniq	1
operatsiyasi	o p e r a t s i j a s i	aniq	1
oqshomida	o q ʃ o m i d a	aniq	1
orqasida	o r q a s i d a	aniq	1
ortiq	o r t i q	aniq	1
orzulariga	o r z u l a r i g a	aniq	1
oshirdi	o ʃ i r d i	aniq	1
ovozli	o v o z l i	aniq	1
oyda	o j d a	aniq	1
o‘kirib	ɵ k i r i b	aniq	1
o‘lchami	ɵ l tʃ a m i	aniq	1
o‘ldirilishiga	ɵ l d i r i l i ʃ i g a	aniq	1
o‘n	ɵ n	aniq	1
o‘qqa	ɵ q q a	aniq	1
o‘rinlarni	ɵ r i n l a r n i	aniq	1
o‘rtasidagi	ɵ r t a s i d a g i	aniq	1
o‘tgan	ɵ t g a n	aniq	1
o‘tkazadilar	ɵ t k a z a d i l a r	aniq	1
o‘tkir	ɵ t k i r	aniq	1
o‘ttizdan	ɵ t t i z d a n	aniq	1
o‘xshamaydi	ɵ x ʃ a m a j d i	aniq	1
o‘xshaydi	ɵ x ʃ a j d i	aniq	1
o‘z	ɵ z	aniq	1
o‘zida	ɵ z i d a	aniq	1
o‘zingiznikidan	ɵ z i ŋ i z n i k i d a n	noaniq	2
o‘zlarining	ɵ z l a r i n i ŋ	aniq	1
parlament	p a r l a m e n t	aniq	1
partiya	p a r t i j a	aniq	1
parvarishiga	p a r v a r i ʃ i g a	aniq	1
pasxa	p a s x a	aniq	1
pasxaning	p a s x a n i ŋ	aniq	1
piyoda	p i j o d a	aniq	1
pul	p u l	aniq	1
qadar	q a d a r	aniq	1
qanday	q a n d a j	aniq	1
qaramay	q a r a m a j	aniq	1
qayta	q a j t a	aniq	1
qiladilar	q i l a d i l a r	aniq	1
qildi	q i l d i	aniq	1
qilib	q i l i b	aniq	1
qiling	q i l i ŋ	aniq	1
qilish	q i l i ʃ	aniq	1
qismida	q i s m i d a	aniq	1
qochib	q o tʃ i b	aniq	1
qoldi	q o l d i	aniq	1
qor	q o r	aniq	1
qorishmasidir	q o r i ʃ m a s i d i r	aniq	1
qorli	q o r l i	aniq	1
qotishmalar	q o t i ʃ m a l a r	aniq	1
qo‘llaniladi	q ɵ l l a n i l a d i	aniq	1
qo‘ng‘iz	q ɵ n ʁ i z	aniq	1
qo‘nish	q ɵ n i ʃ	aniq	1
qo‘shimcha	q ɵ ʃ i m tʃ a	aniq	1
qurilganidan	q u r i l g a n i d a n	aniq	1
qurishiga	q u r i ʃ i g a	aniq	1
ranni	r a n n i	aniq	1
rasmiy	r a s m i j	aniq	1
ravishda	r a v i ʃ d a	aniq	1
rejasini	r e dʒ a s i n i	noaniq	2
rekombinatsiya	r e k o m b i n a t s i j a	aniq	1
rolando	r o l a n d o	aniq	1
sabablarga	s a b a b l a r g a	aniq	1
samolyot	s a m o l j o t	aniq	1
saqlab	s a q l a b	aniq	1
sardor	s a r d o r	aniq	1
savdo	s a v d o	aniq	1
saylovlarida	s a j l o v l a r i d a	aniq	1
sayohatchilarni	s a j o h a t tʃ i l a r n i	aniq	1
sayyoralar	s a j j o r a l a r	aniq	1
segregatsiya	s e g r e g a t s i j a	aniq	1
seng	s e ŋ	aniq	1
shahardagi	ʃ a h a r d a g i	aniq	1
shakllanganini	ʃ a k l l a ŋ a n i n i	noaniq	2
shakllanishini	ʃ a k l l a n i ʃ i n i	aniq	1
shanba	ʃ a n b a	aniq	1
sharoitlar	ʃ a r o i t l a r	aniq	1
shaxslararo	ʃ a x s l a r a r o	aniq	1
sher	ʃ e r	aniq	1
sherlar	ʃ e r l a r	aniq	1
sherning	ʃ e r n i ŋ	aniq	1
shu	ʃ u	aniq	1
shuningdek	ʃ u n i ŋ d e k	noaniq	2
sifatida	s i f a t i d a	aniq	1
singapur	s i ŋ a p u r	noaniq	2
singari	s i ŋ a r i	noaniq	2
siz	s i z	aniq	1
sotib	s o t i b	aniq	1
sotiq	s o t i q	aniq	1
so‘zlardan	s ɵ z l a r d a n	aniq	1
sport	s p o r t	aniq	1
suratga	s u r a t g a	aniq	1
surgan	s u r g a n	aniq	1
suv	s u v	aniq	1
syan	s j a n	aniq	1
ta	t a	aniq	1
tamasese	t a m a s e s e	aniq	1
tanlangan	t a n l a ŋ a n	noaniq	2
tanlashi	t a n l a ʃ i	aniq	1
tarqatuvchi	t a r q a t u v tʃ i	aniq	1
tasavvur	t a s a v v u r	aniq	1
tashkil	t a ʃ k i l	aniq	1
tashkillashtirilgan	t a ʃ k i l l a ʃ t i r i l g a n	aniq	1
tashkiloti	t a ʃ k i l o t i	aniq	1
taxtasi	t a x t a s i	aniq	1
terrorizm	t e r r o r i z m	aniq	1
tez	t e z	aniq	1
tig‘	t i ʁ	aniq	1
tinch	t i n tʃ	aniq	1
tirilishini	t i r i l i ʃ i n i	aniq	1
tishlar	t i ʃ l a r	aniq	1
tomondan	t o m o n d a n	aniq	1
tomonidan	t o m o n i d a n	aniq	1
topgan	t o p g a n	aniq	1
topshiriladi	t o p ʃ i r i l a d i	aniq	1
tortib	t o r t i b	aniq	1
toshqinlar	t o ʃ q i n l a r	aniq	1
tovlamachilikka	t o v l a m a tʃ i l i k k a	aniq	1
to‘dasi	t ɵ d a s i	aniq	1
to‘g‘on	t ɵ ʁ o n	aniq	1
